1,-828,-976
2,421,-134
3,256,-892
4,-198,-168
5,918,-373
6,-125,764
7,-741,229
8,962,612
9,-144,275
10,-524,-97
11,822,-112
12,-525,-706
13,-739,826
14,-582,518
15,-403,586
16,277,-25
17,-451,537
18,384,-462
19,123,268
20,306,575
21,715,-118
22,265,-147
23,540,284
24,-440,271
25,-848,829
26,-217,-453
27,-981,178
28,458,477
29,-281,492
30,-435,220
31,53,851
32,151,372
33,143,374
34,990,844
35,-595,418
36,530,561
37,892,791
38,860,852
39,806,186
40,-56,991
41,-897,-329
42,689,-34
43,652,-531
44,397,580
45,-911,343
46,361,-532
47,-77,-184
48,-737,-758
49,-668,-609
50,254,889
51,798,-204
52,793,-537
53,-910,723
54,-693,806
55,946,463
56,-310,837
57,-404,-175
58,178,495
59,96,-223
60,-741,467
61,772,732
62,646,12
63,-586,824
64,-603,353
65,-597,764
66,-639,-527
67,799,572
68,977,832
69,276,-428
70,848,-731
71,494,587
72,-339,872
73,-417,227
74,602,295
75,-737,534
76,-338,689
77,711,-764
78,-268,68
79,-145,-590
80,-856,587
81,-372,-27
82,823,122
83,-705,305
84,48,669
85,986,-140
86,137,17
87,532,-898
88,171,81
89,616,-587
90,416,-91
91,730,244
92,44,894
93,842,-219
94,-998,-867
95,-356,96
96,402,445
97,680,699
98,200,-457
99,-138,-590
100,-777,581
101,469,913
102,-186,-382
103,-748,625
104,-222,832
105,-144,463
106,-667,698
107,280,260
108,822,691
109,-130,-127
110,754,-641
111,368,-935
112,329,458
113,342,172
114,-420,718
115,-995,977
116,670,153
117,-92,341
118,729,-881
119,-603,-518
120,-141,308
121,-994,930
122,986,-731
123,-711,180
124,-724,800
125,50,-554
126,-302,545
127,160,597
128,-210,480
129,-506,-263
130,283,-640
131,762,-267
132,-931,17
133,775,886
134,801,-264
135,-921,-998
136,814,598
137,243,-316
138,380,-889
139,-474,446
140,-771,-524
141,6,822
142,-333,988
143,606,500
144,-927,367
145,873,235
146,-300,-508
147,376,-786
148,267,-684
149,222,-314
150,165,182
151,874,-670
152,-957,-139
153,70,-66
154,310,671
155,-874,848
156,-309,-296
157,-261,-488
158,316,720
159,-591,-706
160,498,-448
161,-562,-552
162,688,83
163,-276,196
164,-54,466
165,122,-388
166,-42,841
167,-818,744
168,338,-366
169,535,905
170,71,750
171,169,164
172,948,-820
173,664,267
174,551,-285
175,185,-645
176,-920,-605
177,-523,-70
178,727,-556
179,-512,255
180,632,645
181,442,311
182,-468,-784
183,756,246
184,786,28
185,-290,644
186,-642,188
187,615,-744
188,33,-345
189,293,249
190,682,904
191,734,779
192,380,31
193,-569,-593
194,449,-584
195,531,440
196,-346,234
197,678,633
198,567,116
199,532,867
200,-244,-636
201,604,310
202,324,-688
203,-343,342
204,50,961
205,-317,-791
206,350,549
207,841,462
208,-258,-892
209,-29,-135
210,-218,-234
211,302,813
212,-965,708
213,807,-255
214,838,924
215,700,-233
216,-608,177
217,-920,-999
218,665,459
219,-978,-275
220,-833,-677
221,-255,459
222,995,915
223,-486,-99
224,-914,-796
225,-423,207
226,-683,-217
227,-400,-593
228,-487,393
229,-188,823
230,955,201
231,862,721
232,230,-892
233,-350,420
234,941,-636
235,-785,-643
236,879,-691
237,439,823
238,753,-399
239,-97,206
240,-204,-876
241,-631,409
242,-633,-661
243,-191,414
244,238,-959
245,806,-5
246,-28,-149
247,977,731
248,581,309
249,611,-58
250,-184,812
251,779,206
252,828,-890
253,533,-75
254,-576,-25
255,-854,-822
256,-25,823
257,-44,510
258,-756,777
259,-687,-173
260,-844,-899
261,-237,181
262,274,137
263,-938,500
264,-849,363
265,866,-919
266,641,378
267,-982,-849
268,884,943
269,612,349
270,-953,-17
271,-526,-150
272,689,-733
273,721,-752
274,-364,-22
275,929,-612
276,-231,-619
277,813,118
278,-963,491
279,460,-780
280,122,-865
281,943,-68
282,-406,615
283,-780,130
284,-392,-225
285,-533,399
286,479,639
287,544,-212
288,-728,512
289,-463,-402
290,-497,-91
291,-848,-597
292,621,-64
293,-341,796
294,-860,-686
295,419,859
296,-409,-616
297,443,-9
298,-407,-189
299,154,-705
300,-249,175
301,-741,-124
302,-536,495
303,-38,-382
304,109,-225
305,-901,-40
306,364,395
307,-802,967
308,-646,-282
309,558,752
310,369,-506
311,203,753
312,246,-425
313,269,-126
314,111,933
315,-5,452
316,-349,599
317,130,-662
318,-630,-504
319,-302,-557
320,-776,664
321,-793,366
322,221,-333
323,788,-465
324,615,969
325,-571,-893
326,-14,-858
327,-603,-633
328,-89,299
329,-819,-146
330,-717,-258
