1,-28,-76,21,-34
2,56,-92,-98,-68
3,18,-73,-25,64
4,-41,29,62,12
5,-44,75,-24,-97
6,22,-12,-25,-6
7,-39,26,-82,18
8,-3,86,77,-25
9,-51,37,84,-62
10,23,68,6,75
11,15,-18,65,-47
12,40,84,-40,71
13,-48,29,-17,-53
14,-81,78,58,77
15,-81,92,-35,20
16,53,51,51,72
17,43,74,90,44
18,-95,18,30,61
19,92,91,60,52
20,6,86,-56,91
21,-97,-29,89,-34
22,52,-31,97,80
23,-11,43,61,-32
24,-77,-84,-37,-58
25,-68,-9,54,89
26,98,-4,93,-37
27,-10,23,-93,6
28,46,63,-10,37
29,-4,-75,78,95
30,96,-23,-41,67
31,72,32,46,12
32,-86,24,-3,53
33,-97,64,-39,-27
34,99,72,77,32
35,76,-28,48,-31
36,94,87,-39,72
37,-17,27,2,95
38,-37,34,-38,89
39,11,-64,-68,68
40,-45,-90,-56,87
41,-72,-27,23,22
42,-5,5,48,69
43,86,-40,37,17
44,32,-98,71,81
45,16,-87,16,-91
46,30,44,44,94
47,42,-19,-98,-67
48,-56,96,2,45
49,80,99,0,-57
50,-38,-90,-77,81
51,69,13,-86,-82
52,-48,25,-22,32
53,-44,63,-67,98
54,80,60,22,91
55,-30,-27,54,-41
56,68,-35,29,58
57,42,72,-20,18
58,-95,77,70,53
59,-92,41,29,-81
60,-3,-18,-41,8
61,-94,30,86,-31
62,-11,80,-24,0
63,50,-54,-2,45
64,60,97,-10,80
65,-6,-63,83,-40
66,62,-67,-31,17
67,75,86,1,-64
68,-21,-98,14,98
69,43,-16,80,-89
70,-74,46,-71,-24
71,6,22,-33,88
72,6,0,-27,67
73,73,35,0,-8
74,76,-86,67,-84
75,22,-14,65,82
76,74,-70,-57,-39
77,70,-66,10,71
78,-74,48,-9,-96
79,-61,-88,16,20
80,-91,-6,98,-48
81,-62,-52,88,83
82,-76,96,-54,66
83,22,-88,-42,41
84,-18,44,38,-66
85,35,5,71,50
86,69,64,48,-20
87,64,67,51,-85
88,85,-45,-20,-5
89,-23,-70,27,-56
90,-12,55,32,45
91,42,11,-68,-84
92,56,46,86,28
93,-90,44,-42,88
94,15,-44,33,-45
95,93,49,82,4
96,34,79,80,31
97,-69,-93,49,-84
98,31,40,-46,34
99,78,33,67,16
100,32,67,-44,-36
101,4,10,24,-88
102,-43,42,50,61
103,-17,-91,50,49
104,41,62,-58,-92
105,-29,-35,-18,-34
106,2,13,-65,8
107,7,-55,38,24
108,0,-33,-8,77
109,-20,-99,65,59
110,-78,-75,-33,-77
111,-55,59,95,15
112,-86,-99,-14,-96
113,-23,7,-83,-17
114,0,-93,-87,93
115,-88,23,55,1
116,62,21,30,-92
117,-50,20,41,-36
118,-85,-43,79,-91
119,39,23,53,-99
120,-97,6,-4,-76
121,-31,9,-33,-61
122,-91,14,38,-59
123,6,-5,-28,-49
124,77,31,81,9
125,11,-58,-84,12
126,79,6,28,-90
127,33,-75,-76,-25
128,-54,-22,-25,23
129,-44,10,-56,77
130,-87,-73,-44,-99
131,-37,81,74,37
132,-38,0,-49,63
133,66,-19,41,78
134,-82,-49,84,43
135,12,49,-53,-17
136,-26,-50,89,-33
137,21,-52,-64,-22
138,29,-12,-31,-19
139,13,18,-63,91
140,60,-80,22,-65
141,43,-68,-6,15
142,-80,30,-92,-25
143,-33,99,79,39
144,44,-12,-28,12
145,-63,-2,-97,-91
146,-48,-97,21,-64
147,-41,96,-60,-86
148,19,59,-9,-16
149,43,-9,-7,-89
150,54,-5,-49,75
151,-41,-24,-36,95
152,-38,-82,9,-25
153,-1,-40,64,95
154,-2,67,-46,-82
155,58,52,69,-6
156,3,53,46,-25
157,69,-26,11,33
158,-5,52,-49,99
159,30,-62,-30,-4
160,-2,-57,-76,64
161,-93,66,21,-33
162,88,-65,15,69
163,-71,-93,-14,-58
164,-3,-33,-89,99
165,-19,-46,-17,-58
166,43,46,-34,-18
167,-78,59,77,2
168,-84,10,-4,-70
169,73,-79,52,-6
170,21,21,-57,75
171,12,-89,48,15
172,84,-21,-75,-87
173,-72,-15,-57,37
174,-41,37,85,-32
175,-5,-95,-84,-64
176,-17,97,99,-18
177,46,-45,50,-65
178,53,-48,39,52
179,-32,-11,43,-32
180,96,-42,-11,73
181,24,40,25,23
182,-54,66,12,78
183,84,-98,13,38
184,-9,-85,-1,-1
185,77,-71,-54,64
186,-87,-84,23,-91
187,16,-30,-61,70
188,38,29,52,-74
189,0,-33,66,11
190,44,-17,83,-20
